Generation,cores,pop,GenerationFitness,GenerationTime
6,4,50,108,2,
7,4,50,124,2,
8,4,50,149,2,
9,4,50,224,3,
10,4,50,312,3,
11,4,50,377,4,
12,4,50,392,5,
13,4,50,392,5,
14,4,50,392,5,
15,4,50,409,6,
16,4,50,514,5,
17,4,50,552,6,
18,4,50,880,6,
19,4,50,1819,11,
20,4,50,2365,16,
21,4,50,2881,26,
22,4,50,3845,35,
23,4,50,5245,46,
24,4,50,6540,60,
25,4,50,6559,64,
26,4,50,7847,69,
27,4,50,12556,98,
28,4,50,18613,157,
29,4,50,19061,199,
30,4,50,21436,171,
1,12,10,2,0,
2,12,10,4,0,
3,12,10,4,0,
4,12,10,5,0,
5,12,10,6,0,
6,12,10,7,0,
7,12,10,7,0,
8,12,10,7,0,
9,12,10,9,0,
10,12,10,9,0,
11,12,10,9,0,
12,12,10,11,0,
13,12,10,12,0,
14,12,10,15,0,
15,12,10,18,0,
16,12,10,27,0,
17,12,10,27,0,
18,12,10,30,0,
19,12,10,38,0,
20,12,10,38,0,
21,12,10,45,0,
22,12,10,45,0,
23,12,10,47,0,
24,12,10,47,0,
25,12,10,47,0,
26,12,10,49,0,
27,12,10,49,0,
28,12,10,49,0,
29,12,10,49,0,
30,12,10,49,0,
1,12,10,7,0,
2,12,10,14,0,
3,12,10,14,0,
4,12,10,14,0,
5,12,10,16,0,
6,12,10,16,0,
7,12,10,21,0,
8,12,10,21,0,
9,12,10,21,0,
10,12,10,21,0,
11,12,10,37,0,
12,12,10,37,0,
13,12,10,37,0,
14,12,10,39,0,
15,12,10,49,0,
16,12,10,95,0,
17,12,10,138,0,
18,12,10,140,0,
19,12,10,150,0,
20,12,10,150,0,
21,12,10,150,0,
22,12,10,150,0,
23,12,10,150,0,
24,12,10,150,0,
25,12,10,150,0,
26,12,10,161,0,
27,12,10,161,0,
28,12,10,161,0,
29,12,10,161,0,
30,12,10,168,0,
1,12,10,2,0,
2,12,10,2,0,
3,12,10,2,0,
4,12,10,3,0,
5,12,10,3,0,
6,12,10,3,0,
7,12,10,3,0,
8,12,10,3,0,
9,12,10,3,0,
10,12,10,3,0,
11,12,10,3,0,
12,12,10,3,0,
13,12,10,3,0,
14,12,10,3,0,
15,12,10,3,0,
16,12,10,3,0,
17,12,10,3,0,
18,12,10,3,0,
19,12,10,3,0,
20,12,10,3,0,
21,12,10,4,0,
22,12,10,4,0,
23,12,10,4,0,
24,12,10,4,0,
25,12,10,4,0,
26,12,10,4,0,
27,12,10,4,0,
28,12,10,4,0,
29,12,10,4,0,
30,12,10,4,0,
1,12,10,4,0,
2,12,10,4,0,
3,12,10,5,0,
4,12,10,7,0,
5,12,10,8,0,
6,12,10,8,0,
7,12,10,9,0,
8,12,10,14,0,
9,12,10,14,0,
10,12,10,14,0,
11,12,10,14,0,
12,12,10,14,0,
13,12,10,14,0,
14,12,10,14,0,
15,12,10,14,0,
16,12,10,22,0,
17,12,10,24,0,
18,12,10,24,0,
19,12,10,27,0,
20,12,10,38,0,
21,12,10,38,0,
22,12,10,38,0,
23,12,10,44,0,
24,12,10,44,0,
25,12,10,56,0,
26,12,10,58,0,
27,12,10,58,0,
28,12,10,70,0,
29,12,10,90,0,
30,12,10,108,0,
1,12,10,2,0,
